IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.21.205,1,1,0.00,167.21,0.00
172.64.152.159,1,1,0.00,167.24,0.00
172.64.35.130,1,1,0.00,167.25,0.00
104.17.232.100,1,1,0.00,167.25,0.00
104.19.161.218,1,1,0.00,167.26,0.00
172.66.0.106,1,1,0.00,167.26,0.00
198.41.204.209,1,1,0.00,167.26,0.00
104.17.219.16,1,1,0.00,167.26,0.00
172.65.241.238,1,1,0.00,167.26,0.00
104.17.241.49,1,1,0.00,167.27,0.00
104.17.96.141,1,1,0.00,167.27,0.00
172.64.34.94,1,1,0.00,167.27,0.00
172.64.38.1,1,1,0.00,167.28,0.00
172.66.1.191,1,1,0.00,167.29,0.00
104.19.16.156,1,1,0.00,167.31,0.00
104.17.105.216,1,1,0.00,167.31,0.00
104.19.164.10,1,1,0.00,167.31,0.00
172.64.145.24,1,1,0.00,167.33,0.00
104.17.94.104,1,1,0.00,167.40,0.00
172.65.222.71,1,1,0.00,167.40,0.00
172.65.242.12,1,1,0.00,167.40,0.00
198.41.193.22,1,1,0.00,167.42,0.00
104.18.103.97,1,1,0.00,167.42,0.00
198.41.199.90,1,1,0.00,167.42,0.00
104.17.87.1,1,1,0.00,167.43,0.00
104.17.18.200,1,1,0.00,167.43,0.00
172.65.224.246,1,1,0.00,167.43,0.00
172.65.227.140,1,1,0.00,167.45,0.00
104.17.69.220,1,1,0.00,167.46,0.00
172.65.246.185,1,1,0.00,167.47,0.00
104.17.189.210,1,1,0.00,167.47,0.00
172.65.202.79,1,1,0.00,167.47,0.00
162.159.51.102,1,1,0.00,167.47,0.00
104.18.99.243,1,1,0.00,167.48,0.00
172.64.83.226,1,1,0.00,167.48,0.00
104.16.253.171,1,1,0.00,167.50,0.00
172.64.95.193,1,1,0.00,167.50,0.00
104.17.30.87,1,1,0.00,167.51,0.00
104.18.102.59,1,1,0.00,167.54,0.00
172.64.154.122,1,1,0.00,167.54,0.00
104.17.22.0,1,1,0.00,167.56,0.00
104.16.55.216,1,1,0.00,167.56,0.00
172.64.33.92,1,1,0.00,167.58,0.00
104.18.85.221,1,1,0.00,167.58,0.00
172.64.158.168,1,1,0.00,167.59,0.00
198.41.195.254,1,1,0.00,167.60,0.00
172.64.50.110,1,1,0.00,167.62,0.00
104.17.32.152,1,1,0.00,167.65,0.00
172.65.204.251,1,1,0.00,167.67,0.00
172.66.42.174,1,1,0.00,167.68,0.00
104.18.97.161,1,1,0.00,167.69,0.00
104.16.179.240,1,1,0.00,167.70,0.00
104.19.166.36,1,1,0.00,167.72,0.00
104.17.168.53,1,1,0.00,167.73,0.00
104.18.106.171,1,1,0.00,167.73,0.00
104.17.92.29,1,1,0.00,167.74,0.00
104.17.117.2,1,1,0.00,167.75,0.00
172.64.47.12,1,1,0.00,167.77,0.00
104.17.187.209,1,1,0.00,167.77,0.00
172.66.47.59,1,1,0.00,167.82,0.00
104.19.17.118,1,1,0.00,167.89,0.00
103.21.244.36,1,1,0.00,167.91,0.00
172.65.193.127,1,1,0.00,167.91,0.00
172.65.228.139,1,1,0.00,167.92,0.00
172.64.144.135,1,1,0.00,167.95,0.00
172.64.157.234,1,1,0.00,167.97,0.00
104.17.179.8,1,1,0.00,167.97,0.00
104.17.70.129,1,1,0.00,167.98,0.00
172.65.237.158,1,1,0.00,167.99,0.00
172.65.215.103,1,1,0.00,168.01,0.00
172.64.156.77,1,1,0.00,168.02,0.00
104.17.180.90,1,1,0.00,168.06,0.00
104.16.196.13,1,1,0.00,168.07,0.00
172.64.151.55,1,1,0.00,168.07,0.00
104.17.220.112,1,1,0.00,168.09,0.00
104.17.178.179,1,1,0.00,168.10,0.00
162.159.33.34,1,1,0.00,168.11,0.00
172.64.159.182,1,1,0.00,168.13,0.00
104.17.21.163,1,1,0.00,168.13,0.00
172.65.230.104,1,1,0.00,168.14,0.00
162.159.36.208,1,1,0.00,168.15,0.00
141.101.123.231,1,1,0.00,168.16,0.00
104.17.78.45,1,1,0.00,168.18,0.00
104.17.214.84,1,1,0.00,168.19,0.00
104.17.99.184,1,1,0.00,168.19,0.00
104.16.180.159,1,1,0.00,168.19,0.00
104.17.79.187,1,1,0.00,168.23,0.00
172.65.194.45,1,1,0.00,168.24,0.00
104.16.195.178,1,1,0.00,168.24,0.00
141.101.122.89,1,1,0.00,168.25,0.00
104.17.217.44,1,1,0.00,168.26,0.00
172.65.214.225,1,1,0.00,168.28,0.00
162.159.200.102,1,1,0.00,168.29,0.00
162.159.24.66,1,1,0.00,168.30,0.00
162.159.4.200,1,1,0.00,168.30,0.00
172.65.198.132,1,1,0.00,168.31,0.00
104.17.216.210,1,1,0.00,168.34,0.00
172.65.238.106,1,1,0.00,168.34,0.00
104.17.35.218,1,1,0.00,168.34,0.00
104.17.147.139,1,1,0.00,168.34,0.00
172.65.245.200,1,1,0.00,168.38,0.00
104.17.91.90,1,1,0.00,168.38,0.00
162.159.1.18,1,1,0.00,168.39,0.00
104.17.97.48,1,1,0.00,168.41,0.00
172.65.235.192,1,1,0.00,168.41,0.00
104.17.172.220,1,1,0.00,168.43,0.00
104.16.190.205,1,1,0.00,168.44,0.00
104.16.232.209,1,1,0.00,168.44,0.00
172.64.93.158,1,1,0.00,168.45,0.00
104.17.27.202,1,1,0.00,168.48,0.00
104.17.124.99,1,1,0.00,168.48,0.00
104.17.11.140,1,1,0.00,168.50,0.00
104.16.231.20,1,1,0.00,168.50,0.00
162.159.202.170,1,1,0.00,168.51,0.00
172.65.207.160,1,1,0.00,168.56,0.00
104.16.107.254,1,1,0.00,168.59,0.00
104.16.87.128,1,1,0.00,168.60,0.00
104.17.7.241,1,1,0.00,168.61,0.00
104.17.89.241,1,1,0.00,168.62,0.00
104.17.213.115,1,1,0.00,168.63,0.00
104.19.167.117,1,1,0.00,168.65,0.00
104.17.128.59,1,1,0.00,168.65,0.00
104.17.65.129,1,1,0.00,168.67,0.00
172.65.244.131,1,1,0.00,168.67,0.00
104.17.127.34,1,1,0.00,168.67,0.00
172.65.206.10,1,1,0.00,168.68,0.00
104.17.125.103,1,1,0.00,168.68,0.00
162.159.46.5,1,1,0.00,168.70,0.00
104.19.183.238,1,1,0.00,168.72,0.00
104.17.130.217,1,1,0.00,168.74,0.00
104.19.28.43,1,1,0.00,168.76,0.00
104.16.214.57,1,1,0.00,168.79,0.00
104.16.185.170,1,1,0.00,168.81,0.00
104.19.175.11,1,1,0.00,168.81,0.00
104.17.171.187,1,1,0.00,168.82,0.00
162.159.60.81,1,1,0.00,168.83,0.00
172.65.217.18,1,1,0.00,168.83,0.00
104.16.236.239,1,1,0.00,168.84,0.00
104.17.134.196,1,1,0.00,168.85,0.00
172.65.203.227,1,1,0.00,168.85,0.00
104.17.143.37,1,1,0.00,168.86,0.00
141.101.90.188,1,1,0.00,168.86,0.00
104.17.121.100,1,1,0.00,168.86,0.00
104.16.234.38,1,1,0.00,168.86,0.00
104.19.178.232,1,1,0.00,168.87,0.00
104.19.19.104,1,1,0.00,168.87,0.00
104.16.108.136,1,1,0.00,168.88,0.00
141.101.115.61,1,1,0.00,168.88,0.00
104.16.181.102,1,1,0.00,168.93,0.00
104.17.126.160,1,1,0.00,168.94,0.00
104.17.175.179,1,1,0.00,168.95,0.00
172.65.212.216,1,1,0.00,168.95,0.00
104.19.27.247,1,1,0.00,168.97,0.00
104.17.43.93,1,1,0.00,168.98,0.00
172.65.211.215,1,1,0.00,169.00,0.00
162.159.143.90,1,1,0.00,169.01,0.00
104.17.64.170,1,1,0.00,169.01,0.00
104.17.46.94,1,1,0.00,169.06,0.00
104.19.26.15,1,1,0.00,169.07,0.00
162.159.142.3,1,1,0.00,169.08,0.00
104.19.173.137,1,1,0.00,169.09,0.00
172.65.210.96,1,1,0.00,169.10,0.00
104.19.66.113,1,1,0.00,169.10,0.00
104.16.228.134,1,1,0.00,169.13,0.00
162.159.197.0,1,1,0.00,169.13,0.00
104.17.41.117,1,1,0.00,169.13,0.00
104.17.74.148,1,1,0.00,169.15,0.00
104.18.188.42,1,1,0.00,169.21,0.00
104.17.44.166,1,1,0.00,169.21,0.00
172.65.205.158,1,1,0.00,169.23,0.00
104.18.13.160,1,1,0.00,169.24,0.00
104.17.39.245,1,1,0.00,169.26,0.00
104.18.111.67,1,1,0.00,169.29,0.00
104.17.139.230,1,1,0.00,169.29,0.00
172.65.208.132,1,1,0.00,169.31,0.00
104.17.196.52,1,1,0.00,169.31,0.00
104.17.142.167,1,1,0.00,169.32,0.00
104.18.11.101,1,1,0.00,169.36,0.00
104.17.55.204,1,1,0.00,169.36,0.00
104.16.74.8,1,1,0.00,169.36,0.00
162.159.138.94,1,1,0.00,169.38,0.00
104.17.51.11,1,1,0.00,169.39,0.00
104.16.95.239,1,1,0.00,169.39,0.00
104.16.85.133,1,1,0.00,169.41,0.00
198.41.219.210,1,1,0.00,169.43,0.00
104.17.57.210,1,1,0.00,169.44,0.00
104.17.151.121,1,1,0.00,169.44,0.00
104.19.48.84,1,1,0.00,169.45,0.00
104.16.5.214,1,1,0.00,169.48,0.00
104.17.150.82,1,1,0.00,169.48,0.00
104.17.149.206,1,1,0.00,169.49,0.00
172.66.3.100,1,1,0.00,169.51,0.00
104.17.62.96,1,1,0.00,169.51,0.00
104.16.90.218,1,1,0.00,169.52,0.00
104.17.116.167,1,1,0.00,169.52,0.00
104.17.206.96,1,1,0.00,169.55,0.00
104.17.63.147,1,1,0.00,169.56,0.00
104.18.94.115,1,1,0.00,169.57,0.00
104.16.96.226,1,1,0.00,169.58,0.00
104.16.44.188,1,1,0.00,169.58,0.00
104.19.35.183,1,1,0.00,169.59,0.00
104.18.110.208,1,1,0.00,169.60,0.00
104.16.94.191,1,1,0.00,169.62,0.00
104.17.202.248,1,1,0.00,169.62,0.00
104.19.54.1,1,1,0.00,169.70,0.00
104.19.50.142,1,1,0.00,169.70,0.00
104.19.0.251,1,1,0.00,169.71,0.00
104.17.47.99,1,1,0.00,169.72,0.00
104.17.111.87,1,1,0.00,169.73,0.00
198.41.221.135,1,1,0.00,169.73,0.00
104.17.1.156,1,1,0.00,169.75,0.00
172.64.98.131,1,1,0.00,169.77,0.00
172.64.137.185,1,1,0.00,169.77,0.00
104.17.112.36,1,1,0.00,169.79,0.00
172.64.106.124,1,1,0.00,169.79,0.00
162.159.23.213,1,1,0.00,169.80,0.00
108.162.194.65,1,1,0.00,169.83,0.00
104.17.60.106,1,1,0.00,169.84,0.00
172.65.195.150,1,1,0.00,169.84,0.00
172.65.225.223,1,1,0.00,169.85,0.00
108.162.193.182,1,1,0.00,169.85,0.00
104.17.200.11,1,1,0.00,169.87,0.00
172.64.162.180,1,1,0.00,169.89,0.00
172.64.107.234,1,1,0.00,169.92,0.00
104.17.58.27,1,1,0.00,169.93,0.00
172.64.96.56,1,1,0.00,169.93,0.00
104.17.68.41,1,1,0.00,169.94,0.00
172.64.103.136,1,1,0.00,169.94,0.00
104.16.203.60,1,1,0.00,169.95,0.00
104.19.45.41,1,1,0.00,169.95,0.00
104.17.67.233,1,1,0.00,169.96,0.00
172.64.69.103,1,1,0.00,169.97,0.00
104.17.201.212,1,1,0.00,169.99,0.00
104.19.199.150,1,1,0.00,169.99,0.00
104.17.84.178,1,1,0.00,170.00,0.00
172.64.196.210,1,1,0.00,170.03,0.00
162.159.133.43,1,1,0.00,170.03,0.00
198.41.215.107,1,1,0.00,170.05,0.00
108.162.192.67,1,1,0.00,170.05,0.00
104.16.219.94,1,1,0.00,170.05,0.00
162.159.21.129,1,1,0.00,170.06,0.00
104.19.149.229,1,1,0.00,170.06,0.00
104.17.5.174,1,1,0.00,170.06,0.00
104.17.72.49,1,1,0.00,170.08,0.00
162.159.41.83,1,1,0.00,170.10,0.00
104.17.113.167,1,1,0.00,170.10,0.00
162.159.6.189,1,1,0.00,170.11,0.00
104.17.3.154,1,1,0.00,170.12,0.00
198.41.216.16,1,1,0.00,170.13,0.00
104.19.152.213,1,1,0.00,170.13,0.00
104.19.153.110,1,1,0.00,170.13,0.00
104.19.198.39,1,1,0.00,170.15,0.00
104.17.197.196,1,1,0.00,170.16,0.00
104.16.224.101,1,1,0.00,170.17,0.00
162.159.20.231,1,1,0.00,170.19,0.00
104.16.209.209,1,1,0.00,170.21,0.00
172.64.139.42,1,1,0.00,170.21,0.00
172.64.140.39,1,1,0.00,170.23,0.00
172.64.108.120,1,1,0.00,170.24,0.00
172.64.128.118,1,1,0.00,170.25,0.00
162.159.14.161,1,1,0.00,170.26,0.00
162.159.8.100,1,1,0.00,170.28,0.00
104.16.223.7,1,1,0.00,170.30,0.00
162.159.56.152,1,1,0.00,170.31,0.00
162.159.18.196,1,1,0.00,170.32,0.00
172.64.193.76,1,1,0.00,170.33,0.00
172.64.105.49,1,1,0.00,170.36,0.00
104.17.90.73,1,1,0.00,170.37,0.00
198.41.201.60,1,1,0.00,170.39,0.00
104.17.110.20,1,1,0.00,170.40,0.00
104.19.30.12,1,1,0.00,170.40,0.00
104.18.217.150,1,1,0.00,170.42,0.00
162.159.19.47,1,1,0.00,170.44,0.00
104.17.192.53,1,1,0.00,170.47,0.00
104.16.201.116,1,1,0.00,170.48,0.00
172.64.133.171,1,1,0.00,170.49,0.00
104.19.146.99,1,1,0.00,170.50,0.00
104.16.88.19,1,1,0.00,170.52,0.00
198.41.209.62,1,1,0.00,170.52,0.00
198.41.203.205,1,1,0.00,170.56,0.00
104.16.61.245,1,1,0.00,170.66,0.00
172.64.100.68,1,1,0.00,170.72,0.00
162.159.2.56,1,1,0.00,170.72,0.00
104.17.80.85,1,1,0.00,170.72,0.00
104.18.63.58,1,1,0.00,170.72,0.00
162.159.12.195,1,1,0.00,170.78,0.00
172.64.111.8,1,1,0.00,170.81,0.00
104.19.32.71,1,1,0.00,170.82,0.00
104.17.146.193,1,1,0.00,170.82,0.00
172.64.131.234,1,1,0.00,170.84,0.00
104.16.2.203,1,1,0.00,170.85,0.00
104.19.29.8,1,1,0.00,170.85,0.00
104.16.9.184,1,1,0.00,170.85,0.00
104.19.184.218,1,1,0.00,170.86,0.00
162.159.152.98,1,1,0.00,170.87,0.00
162.159.5.42,1,1,0.00,170.89,0.00
162.159.9.46,1,1,0.00,170.90,0.00
104.16.1.121,1,1,0.00,170.92,0.00
198.41.196.134,1,1,0.00,170.93,0.00
104.19.190.89,1,1,0.00,170.96,0.00
104.19.187.236,1,1,0.00,170.96,0.00
104.17.165.101,1,1,0.00,170.99,0.00
104.16.8.243,1,1,0.00,171.02,0.00
141.101.121.152,1,1,0.00,171.03,0.00
162.159.153.22,1,1,0.00,171.04,0.00
104.17.154.95,1,1,0.00,171.05,0.00
104.16.217.127,1,1,0.00,171.06,0.00
104.17.163.11,1,1,0.00,171.11,0.00
172.64.165.108,1,1,0.00,171.13,0.00
104.19.188.137,1,1,0.00,171.14,0.00
104.16.216.10,1,1,0.00,171.15,0.00
104.17.76.230,1,1,0.00,171.16,0.00
104.17.14.68,1,1,0.00,171.19,0.00
104.16.11.184,1,1,0.00,171.19,0.00
104.19.214.172,1,1,0.00,171.21,0.00
104.18.80.140,1,1,0.00,171.22,0.00
104.18.81.204,1,1,0.00,171.23,0.00
104.17.194.0,1,1,0.00,171.27,0.00
104.19.186.203,1,1,0.00,171.34,0.00
104.16.210.37,1,1,0.00,171.37,0.00
104.16.211.12,1,1,0.00,171.39,0.00
172.64.199.45,1,1,0.00,171.40,0.00
172.64.92.37,1,1,0.00,171.50,0.00
104.19.174.150,1,1,0.00,171.57,0.00
104.16.230.236,1,1,0.00,171.57,0.00
104.18.131.156,1,1,0.00,171.59,0.00
104.19.22.5,1,1,0.00,171.60,0.00
104.16.32.187,1,1,0.00,171.60,0.00
104.17.136.47,1,1,0.00,171.64,0.00
104.17.85.104,1,1,0.00,171.65,0.00
104.16.31.20,1,1,0.00,171.65,0.00
104.16.33.26,1,1,0.00,171.65,0.00
104.16.20.158,1,1,0.00,171.69,0.00
104.17.234.8,1,1,0.00,171.70,0.00
172.64.36.95,1,1,0.00,171.76,0.00
